"filename", "language", "Vue", "JSON", "JavaScript", "HTML", "Markdown", "SCSS", "comment", "blank", "total"
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\README.md", "Markdown", 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\package-lock.json", "JSON", 0, 27521, 0, 0, 0, 0, 0, 1, 27522
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\package.json", "JSON", 0, 48, 0, 0, 0, 0, 0, 1, 49
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\public\index.html", "HTML", 0, 0, 0, 16, 0, 0, 1, 1, 18
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\App.vue", "Vue", 23, 0, 0, 0, 0, 0, 0, 4, 27
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\components\Home.vue", "Vue", 36, 0, 0, 0, 0, 0, 0, 4, 40
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\components\ListFile.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\components\NavMenu.vue", "Vue", 34, 0, 0, 0, 0, 0, 0, 1, 35
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\components\SearchResult.vue", "Vue", 74, 0, 0, 0, 0, 0, 0, 5, 79
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\components\Upload.vue", "Vue", 54, 0, 0, 0, 0, 0, 0, 1, 55
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\element-variables.scss", "SCSS", 0, 0, 0, 0, 0, 3, 6, 3, 12
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\main.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 1, 9
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\plugins\element.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 2, 7
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\src\routers\router.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 3, 40
"d:\Clarence\Projects\PersonalProjects\DN-DMS\dms-vue\vue.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 20
"Total", "-", 221, 27569, 75, 16, 19, 3, 7, 35, 27945